,feat,avg_imp
413,x_43lmt_max,9.645235e-06
414,unpayIndvLoanlmt_max,9.495414e-06
415,x_16lmt_std,9.446226e-06
416,x_43,9.403106e-06
417,x_61lmt_std,8.97853e-06
418,x_31wk_cnt,7.654166e-06
419,x_68lmt_std,7.241752e-06
420,loanProduct_2,5.37517e-06
421,loanProductbankCard_nunique,1.8974115e-06
422,x_70,0.0
423,loanProductweekday_nunique,0.0
424,loanProductweekday_nunique1,0.0
425,x_58,0.0
426,loanProductsetupHour_nunique,0.0
427,x_57,0.0
428,x_44,0.0
429,x_42,0.0
430,x_40,0.0
431,x_39,0.0
432,x_38,0.0
433,loanProductsetupHour_nunique1,0.0
434,loanProductlinkRela_nunique1,0.0
435,5yearBadloan,0.0
436,x_64,0.0
437,x_37,0.0
438,loanProductresidentAddr_nunique1,0.0
439,loanProductresidentAddr_nunique,0.0
440,loanProductbankCard_nunique1,0.0
441,loanProductbasicLevel_nunique1,0.0
442,loanProductbasicLevel_nunique,0.0
443,loanProductlmt_nunique1,0.0
444,loanProductlmt_nunique,0.0
445,x_59,0.0
446,x_78,0.0
447,x_60,0.0
448,x_77,0.0
449,loanProductlinkRela_nunique,0.0
450,x_31,0.0
451,x_36,0.0
452,x_4,0.0
453,x_10,0.0
454,x_9,0.0
455,x_8,0.0
456,x_7,0.0
457,x_6,0.0
458,x_5,0.0
459,linkRelasetupHour_nunique,0.0
460,x_32,0.0
461,x_3,0.0
462,x_2,0.0
463,x_1,0.0
464,setupHourweekday_nunique,0.0
465,setupHourweekday_nunique1,0.0
466,x_0,0.0
467,x_11,0.0
468,x_13,0.0
469,x_15,0.0
470,x_17,0.0
471,x_18,0.0
472,x_19,0.0
473,x_21,0.0
474,basicLevelweekday_nunique1,0.0
475,basicLevelweekday_nunique,0.0
476,basicLevelsetupHour_nunique1,0.0
477,basicLevelsetupHour_nunique,0.0
478,x_22,0.0
479,x_23,0.0
480,basicLevelresidentAddr_nunique1,0.0
481,x_24,0.0
482,x_30,0.0
483,x_12lmt_min,0.0
484,x_12lmt_max,0.0
485,5yearBadloanlmt_std,0.0
486,x_14lmt_min,0.0
487,x_63lmt_min,0.0
488,x_68lmt_min,0.0
489,x_67lmt_min,0.0
490,x_67lmt_max,0.0
491,x_66lmt_min,0.0
492,x_65lmt_min,0.0
493,x_64lmt_max,0.0
494,x_62lmt_min,0.0
495,x_16lmt_max,0.0
496,x_61lmt_min,0.0
497,x_56lmt_max,0.0
498,x_55lmt_min,0.0
499,x_54lmt_min,0.0
500,x_54lmt_max,0.0
501,x_53lmt_min,0.0
502,x_69lmt_min,0.0
503,x_71lmt_min,0.0
